name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"pune, maharashtra",2025-08-19,24,22,22.6,24,22,22.6,22,96.4,56,100,25,rain,0,0,62.6,24.1,251,1004.5,99.2,2.5,44.2,3.9,2,10,2025-08-19T06:17:18,2025-08-19T18:59:01,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
"pune, maharashtra",2025-08-20,24.3,21.7,22.7,24.3,21.7,22.7,21.8,94.8,10.4,100,12.5,rain,0,0,62.6,27,250.6,1005,98.2,3.8,82.5,7.1,4,10,2025-08-20T06:17:32,2025-08-20T18:58:18,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43063099999,43111099999,remote,43060099999"
"pune, maharashtra",2025-08-21,27.8,22,23.7,29.5,22,23.7,21.9,90.6,3.1,100,8.33,rain,0,0,55.8,24.1,251,1008.4,93,7.9,156.9,13.4,5,10,2025-08-21T06:17:45,2025-08-21T18:57:35,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
"pune, maharashtra",2025-08-22,26.3,22.3,23.4,26.3,22.3,23.4,21.6,89.8,0.2,100,4.17,rain,0,0,54.7,23.8,254.2,1009.3,91.3,11.8,177.8,15.5,7,10,2025-08-22T06:17:59,2025-08-22T18:56:52,0.96,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43063099999,43111099999,remote,43060099999"
"pune, maharashtra",2025-08-23,25.7,22.1,23.3,25.7,22.1,23.3,21.4,89.4,3.5,100,8.33,rain,0,0,56.9,23.4,254.9,1008.5,82.2,13.3,176.9,15.2,6,10,2025-08-23T06:18:12,2025-08-23T18:56:07,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
"pune, maharashtra",2025-08-24,25.9,21.6,23.1,25.9,21.6,23.1,21.4,90.5,7.2,100,95.83,rain,0,0,54.4,25.2,247.9,1009.9,88.8,19.5,165.3,14.4,6,10,2025-08-24T06:18:25,2025-08-24T18:55:23,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"pune, maharashtra",2025-08-25,24.4,21.8,22.7,24.4,21.8,22.7,21.5,93.2,6.4,100,95.83,rain,0,0,48.6,20.9,248.9,1009.3,93.2,17.8,154.2,13.2,5,10,2025-08-25T06:18:37,2025-08-25T18:54:37,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"pune, maharashtra",2025-08-26,24.8,22.1,23.1,24.8,22.1,23.1,21.9,93.4,5.4,100,91.67,rain,0,0,40.7,19.8,254.4,1008.7,94.2,12.6,133.9,11.6,6,10,2025-08-26T06:18:49,2025-08-26T18:53:51,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"pune, maharashtra",2025-08-27,25.7,22.2,23.4,25.7,22.2,23.4,22.3,93.2,5.4,100,62.5,rain,0,0,30.6,13.3,263.5,1007.4,99,11.6,101,8.7,4,30,2025-08-27T06:19:02,2025-08-27T18:53:05,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"pune, maharashtra",2025-08-28,25.2,22.4,23.3,25.2,22.4,23.3,22.5,94.9,13.1,100,66.67,rain,0,0,31.7,13.7,264.8,1006.5,100,8.2,82.3,7.1,4,10,2025-08-28T06:19:13,2025-08-28T18:52:18,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
